模型,超参数,验证集准确率,验证集宏F1,训练耗时(秒)
朴素贝叶斯,alpha=0.01,0.9199,0.9207,0.0
朴素贝叶斯,alpha=0.1,0.9206,0.9213,0.0
朴素贝叶斯,alpha=0.5,0.9172,0.9178,0.0
朴素贝叶斯,alpha=1.0,0.9091,0.9096,0.0
朴素贝叶斯,alpha=2.0,0.8969,0.8973,0.0
线性SVM,C=0.1,0.9267,0.9269,0.2
线性SVM,C=1,0.9396,0.9397,0.3
线性SVM,C=10,0.9376,0.9377,1.2
线性SVM,C=100,0.9369,0.9369,2.9
逻辑回归,C=0.1,0.8833,0.8845,0.5
逻辑回归,C=1,0.9186,0.9189,1.7
逻辑回归,C=10,0.9383,0.9384,3.9
逻辑回归,C=100,0.9376,0.9377,2.2
